TABELA CANÇÃO,,,
id,nome,id_album,duracao_segundos
1,Soul For Us ,1,200
2,Reflections Of Magic ,1,163
3,Dance With Her Own,1,116
4,Troubles Of My Inner Fire,2,203
5,Time Fireworks,2,152
6,Magic Circus,3,105
7,"Honey, So Do I",3,207
8,"Sweetie, Let's Gol Wild",3,139
9, She Knows,3,244
10,Fantasy For Me,4,100
11,Celebration Of More,4,146
12,Rock His Everything,4,223
13,Home Forever,4,231
14,Diamond Power,4,241
15,Let's Be Silly,4,132
16,Thang Of Thunder,5,240
17,Words Of Her Life,5,185
18,Without My Streets,5,176
19,Need Of The Evening,6,190
20,History Of My Roses,6,222
21,Without My Love,6,111
22,Walking And Game,6,123
23,Young And Father,6,197
24,Finding My Traditions,7,179
25,Walking And Man,7,229
26,Hard And Time,7,135
27,"Honey, I'm A Lone Wolf",7,150
28,She Thinks I Won't Stay Tonight,8,166
29,He Heard You're Bad For Me,8,154
30,He Hopes We Can't Stay,8,210
31,I Know I Know,8,117
32,He's Walking Away,9,159
33,He's Trouble,9,138
34,I Heard I Want To Bo Alone,9,120
35,I Ride Alone,9,151
36,Honey,10,79
37,You Cheated On Me,10,95
38,Wouldn't It Be Nice,10,213
39,Baby,10,136
40,You Make Me Feel So..,10,83
